rgi_id,glamos_name,rgi_name
RGI2000-v7.0-G-11-00823,Glacier de Corbassière,CORBASSIERE GLACIER DE
RGI2000-v7.0-G-11-00879,Glacier du Giétro,GIETRO GLACIER DU
RGI2000-v7.0-G-11-01039,Glacier de Tortin,TORTIN GLACIER DE
RGI2000-v7.0-G-11-01075,Adlergletscher,ADLERGLETSCHER
RGI2000-v7.0-G-11-01084,Schwarzberggletscher,SCHWARZBERGGLETSCHER
RGI2000-v7.0-G-11-01114,Hohlaubgletscher,HOHLAUBGLETSCHER-N
RGI2000-v7.0-G-11-01182,Allalingletscher,Allalingletscher
RGI2000-v7.0-G-11-01189,Findelgletscher,Findelengletscher
RGI2000-v7.0-G-11-01289,Glacier de la Plaine Morte,GLACIER DE LA PLAINE MORTE
RGI2000-v7.0-G-11-01303,Glacier de Tsanfleuron,TSANFLEURON GLACIER DE
RGI2000-v7.0-G-11-01309,Glacier du Sex Rouge,SEX ROUGE GLACIER DU
RGI2000-v7.0-G-11-01706,Rhonegletscher,Rhone
RGI2000-v7.0-G-11-01717,Tiefengletscher,TIEFENGLETSCHER
RGI2000-v7.0-G-11-01838,Claridenfirn,CLARIDEN FIRN-II
RGI2000-v7.0-G-11-01925,Vorabgletscher,VORAB GLATSCHER DIL
RGI2000-v7.0-G-11-01926,Glatschiu dil Segnas,SEGNAS GLATSCHIU DIL
RGI2000-v7.0-G-11-01932,Pizolgletscher,PIZOLGLETSCHER
RGI2000-v7.0-G-11-01949,Silvrettagletscher,Silvretta
RGI2000-v7.0-G-11-02053,Jörigletscher,JRIGLETSCHER
RGI2000-v7.0-G-11-02103,Vadret dal Corvatsch,CORVATSCH VADRET DAL
RGI2000-v7.0-G-11-02105,Vadret dal Murtèl,MURTEL VADRET DAL
RGI2000-v7.0-G-11-02216,Vadret Pers,MORTERATSCH VADRET DA
RGI2000-v7.0-G-11-02401,Schwarzwasserfirn,SCHWARZBACHFIRN
RGI2000-v7.0-G-11-02402,St. Annafirn,ST. ANNAFIRN
RGI2000-v7.0-G-11-02438,Griesgletscher,Gries
RGI2000-v7.0-G-11-02484,Ghiacciaio del Basòdino,Basodino
RGI2000-v7.0-G-11-02596,Grosser Aletschgletscher,GROSSER ALETSCH GLETSCHER
RGI2000-v7.0-G-11-02750,Blauschnee,LAI BLAU GLATSCHER DIL
