rgi_id,glac_name,surge_type,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,term_type,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
RGI2000-v7.0-G-11-00001,FR4N01xxxxxx du Grand Armet,0,11,11-01,G005937E44988N,752391,731,2003-08-13T00:00:00,5.9377884449245,44.988331,31,0.037234970577546,0,0,9,0,5.938411746111149,44.98915207265137,2206.1677,2341.86,2256.1104,2260.9812,32.483784,8.992585,1,COPDEM30,206
RGI2000-v7.0-G-11-00002,FR4N01166K02 Rampant/Ouest de Villard Notre Dame,0,11,11-01,G006028E44984N,752395,731,2003-08-13T00:00:00,6.02846692763158,44.982862,32,0.016397286665662,0,0,9,0,6.02840092189065,44.98398534954303,2679.4963,2876.6365,2771.6992,2778.8796,47.86459,21.149662,1,COPDEM30,158
RGI2000-v7.0-G-11-00003,FR4N01166K01 du Rochail 1,0,11,11-01,G006033E44983N,752396,731,2003-08-13T00:00:00,6.033026132577904,44.982145,32,0.047688873794621,0,0,9,0,6.033692356724478,44.98340011614666,2755.71,2942.017,2836.292,2837.1504,32.240814,14.780121,1,COPDEM30,335
RGI2000-v7.0-G-11-00004,FR4N01166I06 du Peyron/de l'Embernard,0,11,11-01,G006079E44949N,752399,731,2003-08-13T00:00:00,6.079164411262798,44.9487735,32,0.02560414251822,0,0,9,0,6.081277858542212,44.95015716090345,2708.247,2978.4949,2799.5522,2814.3525,45.393368,356.852694272995,1,COPDEM30,334
RGI2000-v7.0-G-11-00005,FR4N01166I05 du Clapier du Peyron 2,0,11,11-01,G006080E44940N,752400,731,2003-08-13T00:00:00,6.080437862433488,44.9404385,32,0.011321908369697,0,0,9,0,6.081206239786704,44.94086277485086,2622.8118,2681.8218,2646.3018,2646.2483,26.65208,70.81209,3,COPDEM30,183
RGI2000-v7.0-G-11-00006,FR4N01166I05 du Clapier du Peyron 1,0,11,11-01,G006080E44941N,752398,731,2003-08-13T00:00:00,6.078497354395704,44.938672,32,0.032694787555863,0,0,9,0,6.081194009974357,44.938427531915316,2756.3245,2895.955,2841.7676,2834.972,37.06302,36.199665,2,COPDEM30,358
RGI2000-v7.0-G-11-00007,FR4N01166I04 Est du Clapier du Peyron,0,11,11-01,G006084E44937N,752401,731,2003-08-13T00:00:00,6.083080944329296,44.9365685,32,0.011960554459279,0,0,9,0,6.084028309687477,44.936573816683165,2633.9937,2710.8162,2679.0571,2677.7866,31.605726,58.90064,2,COPDEM30,162
RGI2000-v7.0-G-11-00008,FR4N01166J02 des Pisses,0,11,11-01,G006072E44940N,752397,731,2003-08-13T00:00:00,6.072025588076594,44.939332,32,0.085026585140212,0,0,9,0,6.071087974211669,44.94061744676434,2515.0525,2826.7124,2632.4028,2637.8271,39.847984,329.060173034668,8,COPDEM30,377
RGI2000-v7.0-G-11-00009,FR4N01166I02 Inferieur Ouest de la Muzelle,0,11,11-01,G006101E44936N,752402,731,2003-08-13T00:00:00,6.101513031645569,44.9351755,32,0.076405127585176,0,0,9,0,6.099222389160601,44.93847250366852,2535.5166,3000.4468,2772.6558,2759.8962,39.20784,317.6561851501465,8,COPDEM30,813
RGI2000-v7.0-G-11-00010,FR4N01166I01 de la Muzelle,0,11,11-01,G006109E44936N,752405,731,2003-08-13T00:00:00,6.109313698055901,44.936969500000004,32,0.376775378330941,0,0,9,0,6.1097910076426105,44.94240573333546,2636.8337,3333.593,2982.998,2987.8635,35.532024,344.49532985687256,1,COPDEM30,1359
RGI2000-v7.0-G-11-00011,Glacier de la Grande Montagne_4,0,11,11-01,G006114E44936N,752412,731,2003-08-13T00:00:00,6.114138077279184,44.9363475,32,0.013499632966554,0,0,9,0,6.115238014675275,44.93639746694731,2941.534,3110.3772,3007.8796,3014.696,44.336468,99.380356,3,COPDEM30,189
RGI2000-v7.0-G-11-00012,Glacier de la Grande Montagne_3,0,11,11-01,G006114E44934N,752410,731,2003-08-13T00:00:00,6.11150579616263,44.932908,32,0.065666984721573,0,0,9,0,6.11423857113529,44.93422036992216,2980.9597,3227.9324,3076.4463,3087.0632,39.604877,103.34766,3,COPDEM30,346
RGI2000-v7.0-G-11-00013,FR4N01166H08-10 de la Grande Montagne,0,11,11-01,G006111E44924N,752408,731,2003-08-13T00:00:00,6.110809702228229,44.92878,32,0.135026684067912,0,0,9,0,6.113284348738865,44.9273501517322,2943.612,3273.2969,3085.2258,3088.8752,32.07947,108.19013,3,COPDEM30,562
RGI2000-v7.0-G-11-00014,Glacier Sud de la Muzelle,0,11,11-01,G006104E44928N,752403,731,2003-08-13T00:00:00,6.103928750465549,44.927684,32,0.022294825649478,0,0,9,0,6.103805828753366,44.92708318133942,2940.154,3063.7112,2998.9885,3002.335,35.513523,207.66246032714844,6,COPDEM30,188
RGI2000-v7.0-G-11-00015,FR4N01166H08-10 de la Grande Montagne,0,11,11-01,G006112E44925N,752407,731,2003-08-13T00:00:00,6.111415539393278,44.9229435,32,0.313565150750198,0,0,9,0,6.116307257587085,44.92531840539356,2787.472,3183.1067,3049.475,3038.6355,30.07258,76.40073,3,COPDEM30,1116
RGI2000-v7.0-G-11-00016,FR4N01166H07 du Vallon de Lanchatra 1,0,11,11-01,G006116E44918N,752413,731,2003-08-13T00:00:00,6.114732929536672,44.9177615,32,0.049799895111552,0,0,9,0,6.119384786392746,44.918404676863226,2726.7322,3081.1946,2907.1294,2902.2075,37.85228,80.89176,3,COPDEM30,538
RGI2000-v7.0-G-11-00017,FR4N01171B02 Courbe 1,0,11,11-01,G006110E44916N,752404,731,2003-08-13T00:00:00,6.109355670454546,44.9172395,32,0.052805773529709,0,0,9,0,6.107512321357462,44.91772651587202,2940.5945,3097.044,3032.8242,3021.7422,28.999514,272.5707321166992,7,COPDEM30,371
RGI2000-v7.0-G-11-00018,"",0,11,11-01,G006110E44914N,752406,731,2003-08-13T00:00:00,6.109907027324466,44.913903000000005,32,0.02664241883172,0,0,9,0,6.109479814823298,44.914807012366936,3046.4766,3136.6392,3064.017,3080.259,21.003536,331.43556213378906,8,COPDEM30,332
RGI2000-v7.0-G-11-00019,FR4N01171B02 de Coin Charnier,0,11,11-01,G006112E44909N,752409,731,2003-08-13T00:00:00,6.111873123321123,44.908692,32,0.014538475578712,0,0,9,0,6.111113482470803,44.908902325502666,2957.8423,3108.5356,3048.4316,3041.756,41.66892,320.77268981933594,8,COPDEM30,195
RGI2000-v7.0-G-11-00020,FR4N01171D01 Ouest de la Haute Pisse,0,11,11-01,G006115E44905N,752414,731,2003-08-13T00:00:00,6.115920314811072,44.905479,32,0.046799741133561,0,0,9,0,6.117487623379353,44.90479327638202,2759.5076,2924.2986,2831.2654,2833.6614,31.801489,133.85457,4,COPDEM30,317
