rgi_id,glacier_name,surge_type,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,term_type,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m,Mean_ELA,Annual_Variability_ELA,ELAS,Years_with_ELA,annual_mass_balance,annual_mass_balance_std,Mean_Ablation_Gradient,Annual_Variability_Ablation_Gradient,ablation_gradients,Mean_Accumulation_Gradient,Annual_Variability_Accumulation_Gradient,accumulation_gradients
RGI2000-v7.0-G-11-00823,Glacier de Corbassière,0,11,11-01,G007297E45961N,753323,731,2003-08-13T00:00:00,7.3042,45.9737,32,16.7181,0,0,9,0,7.2924,46.0102,2234.1826,4267.5244,3267.9985,3208.6720,17.8961,353.4351,1,COPDEM90,8980,3298,171.3731,"[3105, 2925, 3105, 3435, 3265, 3305, 3425, 3115, 3395, 3375, 3395, 3415, 3455, 3105, 3045, 3555, 3225, 3525, 3385, 3395]",20,-737.0000,445.2295,4.8416,0.7983,"[5.713791878533224, 6.978566485417696, 5.3543728242446385, 4.443005726865219, 4.309006160930985, 4.6495435328717605, 3.7741561095218636, 6.134272051531308, 4.587902189035451, 4.499481241315424, 3.917345860556857, 4.758710439459179, 4.573900278953631, 5.4145133356425355, 5.80118060742981, 3.8872225342736484, 4.6582952380952385, 4.252292603187577, 4.727705823854442, 4.39731296975803]",0.7465,0.1988,"[0.7588825903649877, 1.186323486399532, 0.8110094662318034, 0.5542991045275756, 0.8994162024379715, 0.6955515739219537, 0.4985233265720081, 0.9611444471585298, 0.903716761721354, 0.8604746945898778, 0.5495222576105474, 0.5856873082067826, 0.8890908928873797, 0.8609691733562063, 0.9478056114039377, 0.3248528795525352, 0.7412562174667437, 0.5129682673406346, 0.7586612984398591, 0.6297889045255907]"
RGI2000-v7.0-G-11-00879,Glacier du Giétro,0,11,11-01,G007394E45986N,753405,731,2003-08-13T00:00:00,7.3941,45.9912,32,5.4215,0,0,9,0,7.3628,45.9994,2571.9624,3798.5093,3222.8296,3201.4946,12.8357,304.4977,8,COPDEM30,4375,3300,91.0755,"[3275, 3195, 3175, 3565, 3295, 3245, 3335, 3215, 3325, 3345, 3325, 3345, 3355, 3195, 3215, 3355, 3225, 3425, 3245, 3355]",20,-755.7500,607.0900,8.2478,1.2613,"[6.759935275080906, 7.8994991802726435, 8.041472392638036, 7.377283581905355, 7.537621388322743, 8.33688122870625, 7.458954770491592, 9.466408263406388, 8.029480968858131, 6.691407958023611, 6.482194760257044, 8.181274595540009, 8.471163002380619, 7.110802874101843, 8.346943751731782, 9.998147501812227, 10.838222222222223, 7.574295600593178, 11.02685228440624, 9.327811635836444]",1.9013,0.6996,"[1.9514064914992273, 3.2702906188826986, 2.194090909090909, 0.3550042289258528, 2.3828070654027145, 1.8011920423121326, 1.3522080100650031, 2.8348591136240997, 2.168469184890656, 2.4307719531077194, 1.5720079522862822, 1.530670205706702, 1.8897921046484467, 2.5978273495816033, 2.8487764821809822, 0.7005839757066106, 1.6627345187001839, 1.3230442477876105, 1.575659131181872, 1.5839289885540762]"
RGI2000-v7.0-G-11-01075,Adlergletscher,0,11,11-01,G007879E46014N,753827,731,2003-08-13T00:00:00,7.8794,46.0135,32,2.1383,0,0,9,0,7.8543,46.0103,2964.0380,4100.0800,3417.0393,3451.3975,22.1088,268.2985,7,COPDEM30,3482,3490,77.6209,"[nan, nan, nan, nan, nan, nan, 3535, 3405, 3485, 3435, 3495, 3485, 3595, 3385, 3355, 3495, 3485, 3605, 3475, 3625]",14,-422.3571,329.6508,4.0204,1.7773,"[nan, nan, nan, nan, nan, nan, 3.2033600228767516, 5.551872978535725, 2.423479421267032, 1.607890775529865, 2.2240582491736354, 2.9867989817228398, 2.2258137295363873, 1.9565662869922504, 5.107053607416364, 5.891486767553611, 5.645617875745452, 5.401178824187407, 7.400954274353877, 4.659387351778656]",2.1142,1.7353,"[nan, nan, nan, nan, nan, nan, 0.7739935160624816, 0.48445030571873876, 1.22865059573289, 2.762053605134013, 2.115474552957359, 2.7166240953597276, 7.88323301805675, 1.6644908562356968, 1.5313042610517913, 1.4669864693355132, 1.2713069294682804, 1.5983647708527577, 2.7252595155709343, 1.376358208955224]"
RGI2000-v7.0-G-11-01084,Schwarzberggletscher,0,11,11-01,G007922E46000N,753907,731,2003-08-13T00:00:00,7.9308,46.0124,32,5.3389,0,0,9,0,7.9402,46.0276,2659.7952,3542.7107,3034.1309,3051.8855,15.6069,31.7874,2,COPDEM30,4320,3128,94.7035,"[3055, 2965, 3005, 3225, 3155, 3095, 3205, 3055, 3075, 3075, 3185, 3215, 3195, 3005, 3065, 3225, 3055, 3355, 3165, 3175]",20,-730.1000,577.6961,8.5395,1.8307,"[10.653220475614672, 10.692736726012289, 10.089133425034388, 9.825780525502319, 6.610900243309002, 10.304629803186504, 8.372795471595172, 12.39056831922612, 11.081840707964602, 7.600495575221239, 6.577164641050804, 6.622308041799182, 8.536893064620239, 6.556327372764787, 8.529256323140809, 8.092117465224112, 6.136412736799677, 6.063625542641087, 8.637343841703698, 7.417335984095428]",3.2781,0.7804,"[3.380565288483999, 4.273882685678933, 3.9698917019292836, 2.9210144927536232, 2.322223179663938, 3.0954895618935607, 2.1593270658090056, 4.658369539827143, 3.2880522875816993, 3.41437908496732, 2.875393784589187, 2.535286249331193, 4.61336542870243, 3.342501613712974, 3.2469548036552234, 1.8402898550724638, 2.6792898855407614, nan, 4.217386489479512, 3.44990099009901]"
RGI2000-v7.0-G-11-01182,Allalingletscher,0,11,11-01,G007896E46027N,753864,731,2003-08-13T00:00:00,7.9013,46.0318,32,9.2810,0,0,9,0,7.9428,46.0492,2657.4922,4179.5186,3325.4233,3358.8984,18.1204,30.4624,2,COPDEM30,6035,3434,235.2424,"[3345, 3045, 3135, 3525, 3475, 3425, 3505, 3235, 3435, 3305, 3585, 3585, 3645, 3105, 3285, 3385, 3445, 4165, 3605, 3445]",20,-498.9500,606.9360,4.1645,1.2293,"[5.147922513689831, 5.514608736276571, 4.89356397713208, 5.3141500872600345, 3.863768604324628, 5.494597855227882, 4.557105014767226, 5.9549714150999, 4.995826869376358, 2.8614193215307506, 2.8920852323265716, 3.1623872846014636, 4.296672155984454, 2.6807409585416053, 4.142664758463741, 6.154854089089011, 1.9050593753118452, 2.3512049891880036, 3.4383778979334862, 3.667826716062318]",1.3076,0.6586,"[1.8862440997977072, 1.8795837153502526, 1.8145066241855892, 1.8008583690987126, 1.4088581314878892, 1.9361488673139158, 1.5788847216295732, 2.4639216670851116, 2.317986943060977, 0.9115658680435307, 0.3991964488222143, 0.4806386707340819, 0.817791736707069, 0.8709698839665466, 1.758735676201137, 0.7201178416086491, 0.4544566587312701, nan, 0.4961055726888044, 0.8484569468027378]"
RGI2000-v7.0-G-11-01189,Findelgletscher,0,11,11-01,G007880E45990N,753829,731,2003-08-13T00:00:00,7.8804,45.9927,32,14.3121,0,0,9,0,7.8183,46.0097,2494.9312,3769.4897,3292.1055,3251.7327,13.4114,320.0658,8,COPDEM90,7350,3302,70.6604,"[nan, nan, nan, nan, nan, 3245, 3315, 3225, 3355, 3235, 3285, 3385, 3345, 3195, 3185, 3305, 3405, 3405, 3355, 3295]",15,-500.8667,335.9047,8.9608,0.7581,"[nan, nan, nan, nan, nan, 9.734039025634486, 9.354130047836245, 9.64626791893228, 7.9988392255081395, 9.701607119139329, 8.807578776933616, 8.84403121980873, 8.048335994411735, 9.010744042940239, 9.361372967646576, 10.612761228495554, 7.819437931979417, 8.156173309380994, 8.77846305750891, 8.538568516964393]",1.5638,0.3149,"[nan, nan, nan, nan, nan, 1.2397948466601316, 1.5560472045609177, 1.3078802588996763, 1.2303371102426406, 1.6441681249158702, 1.4187617260787992, 1.5199195171026156, 1.8385802883453701, 2.1112256090520725, 2.1122260540660807, 1.0023311698519999, 1.4387075952090655, 1.955332424872696, 1.4540894649534681, 1.6277496934626885]"
RGI2000-v7.0-G-11-01289,Glacier de la Plaine Morte,0,11,11-01,G007510E46381N,753480,731,2003-08-13T00:00:00,7.5115,46.3838,32,7.7165,0,0,9,0,7.5046,46.3959,2466.8564,2916.3180,2722.9524,2720.1280,6.0921,346.2684,1,COPDEM30,3954,2852,60.1747,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2795, 2915, 2815, 2815, 2805, 2935, 2775, 2945, 2895, 2825]",10,-1507.0000,715.0655,5.4174,1.4175,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.933399307273627, 6.573272908146347, 3.2656008470089994, 4.739375330862891, 5.438500851788756, 7.247151180013825, 3.371594202898551, 6.206129122675885, 6.798412501550292, 6.600888888888889]",,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
RGI2000-v7.0-G-11-01303,Glacier de Tsanfleuron,0,11,11-01,G007216E46320N,753257,731,2003-08-13T00:00:00,7.2228,46.3187,32,2.8895,0,0,9,0,7.2466,46.3258,2472.6216,2980.7120,2761.0603,2752.5264,9.3558,86.7985,3,COPDEM30,3443,2916,72.7255,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2925, 2955, 2955, 2795, 2835, 2975, 2795, 2975, 2975, 2975]",10,-1515.4000,894.7157,8.0656,2.0561,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4.15425587467363, 10.073874192692205, 6.292161373086791, 6.879024977430033, 8.584580960130188, 11.05295575221239, 7.845741799578694, 9.58966371681416, 9.938902654867256, 6.244884955752212]",,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
RGI2000-v7.0-G-11-01706,Rhonegletscher,0,11,11-01,G008398E46623N,754359,731,2003-08-13T00:00:00,8.4052,46.6166,32,15.8966,0,0,9,0,8.3825,46.5795,2207.0068,3579.8770,2951.7573,2941.0874,14.8566,219.0706,6,COPDEM90,9031,2968,90.3314,"[nan, nan, nan, nan, nan, nan, nan, 2855, 3055, 2905, 2915, 3095, 3035, 2855, 2915, 2995, 2855, 3105, 3065, 2935]",13,-755.3846,445.1872,8.7244,0.9824,"[nan, nan, nan, nan, nan, nan, nan, 8.603162755732159, 7.3431588580235765, 8.92686987760019, 8.742098426901428, 8.790651596721553, 8.233030820146862, 9.299097889706276, 7.945215759849906, 9.310694161371538, 11.05012081834291, 7.451976472974343, 7.862992290787316, 9.857787981708821]",2.6394,0.3992,"[nan, nan, nan, nan, nan, nan, nan, 3.4208970995481707, 2.6206587245970567, 2.4654164888719206, 3.018215517443634, 2.676459864745663, 2.5128867275928566, 3.0963744352135256, 2.9638645801562538, 2.6975993998499623, 2.0583843463052034, 2.445742275810098, 2.425724870338355, 1.9105969268655567]"
RGI2000-v7.0-G-11-01838,Claridenfirn,0,11,11-01,G008888E46846N,754640,731,2003-08-13T00:00:00,8.8897,46.8436,32,2.3867,0,0,9,0,8.9104,46.8462,2451.5703,3214.6086,2879.5803,2869.9966,14.8482,85.6440,3,COPDEM30,3054,2906,40.3082,"[2835, 2825, 2905, 2965, 2875, 2895, 2915, 2935, 2905, 2915, 2885, 2965, 2935, 2855, 2855, 2945, 2885, 2945, 2945, 2925]",20,-814.4500,470.9399,12.0324,4.7039,"[nan, 5.4934078212290505, 6.378922006068178, 9.668402335100316, 11.376581818181819, 9.100425689431797, 20.55898143131557, 22.5181287608017, 9.385739782259504, 20.308673595035216, 12.577584197969262, 12.981326434619003, 11.954100388829975, 15.495211222186391, 12.357545952918413, 12.741686501190072, 11.750474393830107, 9.976334580074804, 8.423792927575654, 5.567906066536204]",1.5544,0.3029,"[1.9786004514672686, 1.7021739130434783, nan, nan, 1.1457777777777778, nan, nan, nan, nan, nan, nan, nan, nan, 1.2771439224459358, 1.6684563758389261, nan, nan, nan, nan, nan]"
