rgi_id,glacier_name,surge_type,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,term_type,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_sec,dem_source,lmax_m,EastWest,SouthNorth,ela,gradabl,gradacc,ela_std,gradabl_std,gradacc_std,dhdt_mean,dhdt_std,vel_ensemble_year0,vel_ensemble_year10,vel_ensemble_year20,smb_ensemble_year0,smb_ensemble_year10,smb_ensemble_year20,smb_ensemble_mean,smb_ensemble_std,dhdt_ensemble_mean,dhdt_ensemble_std,Mean_velsurf_mag,Std_velsurf_mag,Min_velsurf_mag,Q1_velsurf_mag,Median_velsurf_mag,Q3_velsurf_mag,Max_velsurf_mag,Mean_velsurfobs_mag,Std_velsurfobs_mag,Min_velsurfobs_mag,Q1_velsurfobs_mag,Median_velsurfobs_mag,Q3_velsurfobs_mag,Max_velsurfobs_mag,MAE_velsurf_mag,n_obs_thk,coverage_pct,Mean_thk_model_at_obs,Std_thk_model_at_obs,Mean_thk_obs,Std_thk_obs,MAE_thk,Bias_thk,RMSE_thk,MedianAE_thk,Q95AE_thk,Min_thk_obs,Q1_thk_obs,Median_thk_obs,Q3_thk_obs,Max_thk_obs,eos_sla_mean,eos_sla_n,country,ela_wgmsglamos,ela_source,gradabl_wgmsglamos,gradabl_source,gradacc_wgmsglamos,gradacc_source,annual_mass_balance,annual_mass_balance_std,annual_mass_balance_source,n_years
RGI2000-v7.0-G-11-02596,Grosser Aletschgletscher,0,11,11-01,G008032E46504N,753957,731,2003-08-13T00:00:00,7.9724,46.4804,32,81.7815,0,0,9,0,8.0241,46.3983,1578.3491,4091.6558,3152.1602,3053.7170,15.2365,4,COPDEM90,22911,0.6227,-0.7824,3399,3.8520,0.8155,56.5016,0.3231,0.5898,-1.2218,2.2711,15.5841,11.9241,9.8646,-1.3888,-1.3967,-1.3725,-1.3860,0.1962,-1.3957,0.1767,17.0872,14.1961,0.0000,6.6764,13.8644,23.6703,114.9797,46.0458,43.3450,0.0000,6.9602,35.6761,74.8880,269.6035,30.7100,1103,13.4808,135.9306,93.5713,178.7605,120.6566,62.6552,-42.8299,79.8036,50.9136,155.7214,11.0000,82.8167,144.8571,246.1489,606.0000,3058.0000,19.0000,CH,3034.0000,GLAMOS,10.5880,GLAMOS,2.0850,GLAMOS,-1.2450,0.5600,GLAMOS,20.0000
RGI2000-v7.0-G-11-01225,GORNERGLETSCHER,0,11,11-01,G007800E45965N,753730,731,2003-08-13T00:00:00,7.8102,45.9508,32,56.6037,0,0,9,0,7.7459,45.9803,2181.5845,4510.9720,3336.9722,3313.7688,19.1417,1,COPDEM90,13032,-0.3455,0.9384,3246,5.7921,1.1413,52.7377,0.7514,0.4862,-0.7693,2.8954,20.4441,18.6125,17.9013,-0.6403,-0.6478,-0.5966,-0.6283,0.2123,-0.6917,0.1971,21.2100,22.4485,0.0000,6.0299,14.5995,26.9481,121.4195,28.8007,41.5112,0.0000,4.0970,11.3301,34.9099,219.5739,15.8528,981,4.3342,146.0328,109.2092,152.2424,114.0764,37.4627,-6.2095,50.6940,29.3918,86.9668,1.5000,65.6667,110.4444,232.3333,588.0000,3278.0000,19.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-02611,FIESCHERGLETSCHER,0,11,11-01,G008144E46504N,754156,731,2003-08-13T00:00:00,8.1552,46.5040,32,31.3339,0,0,9,0,8.1355,46.4523,1693.2681,4044.4038,3148.6174,3103.5142,18.6379,4,COPDEM90,14404,0.9120,-0.4103,3297,4.1987,1.3897,48.2547,0.4700,0.8165,-1.0230,2.7710,13.3279,10.5260,8.7708,-0.8469,-0.8650,-0.8323,-0.8480,0.1641,-0.8755,0.1532,14.1641,13.0591,0.0000,4.5024,10.3676,20.1269,76.7323,24.3339,26.1775,0.0000,4.5558,15.0714,37.7416,158.7881,13.4215,471,3.7608,150.0819,79.7387,202.4935,106.5146,63.4890,-52.4115,80.6555,53.7598,142.9418,8.6667,109.3360,202.8824,297.2318,448.3903,3090.0000,19.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-00757,MER DE GLACE,0,11,11-01,G006934E45883N,752968,731,2003-08-13T00:00:00,6.9364,45.8904,32,30.6645,0,0,9,0,6.9211,45.9399,1486.5857,3934.9656,3020.4312,2886.9333,20.1917,1,COPDEM90,13192,0.3058,0.9521,2810,10.7318,0.8412,56.2580,2.0303,0.4371,-0.7547,3.0191,29.9948,23.3019,18.1157,-0.9940,-0.7738,-0.6232,-0.7970,0.2459,-0.7904,0.2133,29.2923,39.1036,0.0000,3.1948,14.7914,37.5082,245.7428,39.9227,58.2087,0.0000,5.4978,19.0927,51.8593,579.8129,20.0481,0,0.0000,,,,,,,,,,,,,,,3046.0000,18.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-02645,UNTERAARGLETSCHER,0,11,11-01,G008187E46569N,754201,731,2003-08-13T00:00:00,8.1935,46.5710,32,23.5507,0,0,9,0,8.2493,46.5666,1930.9941,3930.0380,2648.2163,2693.6213,18.0712,2,COPDEM90,12530,0.9125,0.4090,3143,3.7569,1.3314,115.0990,0.5620,1.3421,-1.5746,3.3214,7.9322,6.1505,5.1777,-1.5527,-1.5684,-1.5771,-1.5661,0.2283,-1.4981,0.1950,9.4310,7.3947,0.0000,3.9616,8.5516,12.8955,61.6316,18.8797,23.0587,0.0000,5.4463,11.7653,21.3745,160.3598,11.1432,1190,12.6448,141.0125,91.9820,212.0210,115.7513,72.3899,-71.0085,88.0281,61.5044,168.2261,12.5714,105.5179,211.0333,322.0000,440.5000,2813.0000,19.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-02530,OBERALETSCH GLETSCHER,0,11,11-01,G007964E46423N,753959,731,2003-08-13T00:00:00,7.9775,46.4377,32,19.2858,0,0,9,0,7.9994,46.4074,2174.1877,3782.5315,2964.7440,2932.9220,21.7818,4,COPDEM90,9659,0.8471,-0.5315,3359,2.5358,1.3509,198.6689,0.8738,1.2034,-1.1840,3.0713,2.4661,1.7559,1.5200,-0.9859,-0.9643,-0.9588,-0.9697,0.2797,-0.8765,0.2095,2.4433,1.8321,0.0000,0.9159,2.1337,3.6700,10.2335,7.6153,9.3212,0.0000,2.2300,4.5061,9.3164,87.7644,5.7067,1439,18.6327,90.4827,52.0670,135.1025,63.0218,49.3645,-44.6199,61.0111,42.6309,116.1989,13.3333,77.1667,150.0000,187.7321,254.9524,3097.0000,18.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-01581,FIESCHERGLETSCHER ,0,11,11-01,G008051E46567N,754043,731,2003-08-13T00:00:00,8.0384,46.5751,32,18.8423,0,0,9,0,8.0534,46.6029,1292.4008,4064.7366,2805.6616,2794.5984,25.4782,1,COPDEM90,9087,0.3594,0.9332,2967,3.5778,0.9266,93.7871,1.7286,0.7508,-0.7151,5.2941,14.3216,9.8559,8.8293,-0.4900,-0.5603,-0.4614,-0.5039,0.2291,-0.6154,0.1954,13.5531,14.1405,0.0000,3.4425,9.6225,18.0041,95.3611,30.1861,33.4131,0.0000,3.5632,18.6421,46.9355,212.3169,21.3173,362,4.7947,72.3500,51.7750,96.5874,61.1120,31.3664,-24.2374,43.1586,18.6530,85.4031,14.5000,43.5761,72.3920,152.5816,243.8000,2745.0000,20.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-03664,Pasterze,0,11,11-01,G012678E47096N,756269,731,2003-08-24T00:00:00,12.6775,47.0959,33,17.7061,0,0,9,0,12.7439,47.0723,2069.4963,3492.3376,2981.7314,2858.8608,16.9832,3,COPDEM90,8233,0.9961,0.0877,2957,11.0749,1.2136,55.1592,1.9878,0.6154,-1.1550,2.5016,16.4054,14.3722,12.3088,-1.6454,-1.2162,-0.7169,-1.1928,0.2479,-1.1707,0.1976,14.8496,17.4665,0.0000,4.2861,10.9216,17.5216,113.6264,23.4822,26.7461,0.0000,5.0127,11.9877,35.0656,189.7029,17.6154,147,2.0751,111.2515,41.8929,125.5272,53.1757,31.1827,-14.2757,38.9963,28.6064,81.7057,32.0000,81.5000,120.0000,154.0000,276.0000,2927.0000,20.0000,AT,3029.6670,WGMS,6.4970,WGMS,0.3690,WGMS,-1.1730,0.3030,WGMS,15.0000
RGI2000-v7.0-G-11-03239,GEPATSCH FERNER,0,11,11-01,G010748E46850N,755530,731,2003-07-30T00:00:00,10.7478,46.8502,32,16.7225,0,0,9,0,10.7467,46.8761,2113.0454,3496.5103,3089.4294,3061.0442,11.6993,1,COPDEM90,7823,-0.1238,0.9923,3075,16.6892,4.8972,26.6682,3.1415,1.2613,-0.6832,1.1545,19.9878,17.6088,15.6885,-0.2418,-0.4961,-0.5531,-0.4303,0.2595,-0.6297,0.2252,20.1319,15.8825,0.0000,6.3165,19.6046,31.2837,146.7333,11.6958,10.3777,0.0000,4.2871,9.2596,15.5003,66.2638,15.6621,278,4.1524,117.3946,53.1595,119.7770,49.7584,34.2265,-2.3824,45.4232,24.3244,92.8733,18.0000,70.5000,120.0000,156.0000,225.0000,3044.0000,19.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-00823,Glacier de Corbassière,0,11,11-01,G007297E45961N,753323,731,2003-08-13T00:00:00,7.3042,45.9737,32,16.7181,0,0,9,0,7.2924,46.0102,2234.1826,4267.5244,3267.9985,3208.6720,17.8961,1,COPDEM90,8980,-0.1143,0.9934,3205,5.8113,1.2932,58.2250,0.9038,0.4935,-0.8299,1.8951,16.6826,14.3981,13.0469,-0.5980,-0.6399,-0.6078,-0.6152,0.1861,-0.6795,0.1799,16.9569,13.9921,0.0000,4.2610,15.0380,25.8595,69.1337,13.1031,14.0713,0.0000,3.9378,8.0967,17.5333,92.5665,10.0279,709,10.5947,116.6913,53.6750,129.1591,54.5353,25.6716,-12.4679,34.1087,18.9764,72.4980,10.5000,86.0000,127.8545,166.1000,280.0000,3117.0000,17.0000,CH,3298.0000,GLAMOS,4.8420,GLAMOS,0.7470,GLAMOS,-0.7370,0.4450,GLAMOS,20.0000
